Product_Category,Price,Customer_Tenure_Months,Previous_Returns,Day_of_Week,Order_Hour,Delivery_Speed,Return
Books,253.92,49.0,0.0,Tue,6.0,SameDay,0
Home,158.6,48.0,4.0,Mon,18.0,SameDay,0
Clothing,338.34,,0.0,Wed,13.0,SameDay,1
Books,289.12,59.0,9.0,Mon,18.0,SameDay,0
Clothing,278.09,113.0,7.0,Sun,14.0,SameDay,1
Clothing,316.22,31.0,0.0,Sun,19.0,Expedited,0
Clothing,,36.0,6.0,Thu,3.0,Expedited,0
Books,306.81,50.0,0.0,Mon,7.0,SameDay,0
Toys,295.91,42.0,3.0,Sun,15.0,Standard,0
Toys,402.27,,5.0,Sat,1.0,Standard,1
Books,5.12,12.0,9.0,Mon,1.0,SameDay,0
Books,179.39,21.0,6.0,Sun,18.0,SameDay,0
Electronics,52.84,58.0,7.0,Fri,18.0,SameDay,0
Toys,272.98,17.0,7.0,Sat,7.0,SameDay,0
Books,288.52,86.0,9.0,Thu,0.0,Standard,0
Electronics,124.67,89.0,5.0,Mon,8.0,Expedited,0
Toys,262.51,50.0,4.0,Tue,17.0,SameDay,0
Home,389.53,2.0,1.0,Fri,22.0,Expedited,0
Electronics,488.35,117.0,3.0,Wed,18.0,Expedited,1
Toys,95.4,50.0,5.0,Sat,20.0,Expedited,0
Clothing,106.46,39.0,9.0,Fri,18.0,SameDay,1
Electronics,480.96,72.0,2.0,Thu,17.0,Expedited,0
Home,356.54,119.0,2.0,Thu,4.0,Expedited,0
Electronics,248.41,19.0,5.0,Fri,20.0,Expedited,0
Toys,285.04,97.0,3.0,Sun,4.0,SameDay,0
Books,159.85,36.0,0.0,Tue,18.0,SameDay,0
Clothing,344.91,89.0,4.0,Sun,11.0,SameDay,1
Home,26.61,117.0,7.0,Thu,20.0,SameDay,0
Toys,35.5,106.0,0.0,Sun,0.0,Standard,0
Clothing,69.66,14.0,9.0,Sat,1.0,Expedited,0
Electronics,414.97,5.0,1.0,Sun,5.0,Expedited,0
Home,406.03,17.0,,Sat,10.0,Expedited,1
Clothing,472.33,5.0,1.0,Wed,4.0,SameDay,1
Toys,24.21,54.0,0.0,Thu,11.0,Expedited,0
Home,437.31,6.0,9.0,Tue,3.0,SameDay,1
Toys,315.28,,5.0,Fri,2.0,Standard,1
Clothing,87.64,64.0,7.0,Tue,11.0,Standard,0
Toys,157.77,80.0,3.0,Sun,11.0,Expedited,0
Home,338.39,10.0,8.0,Sat,16.0,SameDay,1
Books,96.1,27.0,7.0,Sun,8.0,SameDay,0
Electronics,120.5,12.0,0.0,Sat,3.0,Standard,0
Home,,18.0,1.0,Mon,20.0,SameDay,0
Electronics,392.3,,1.0,Thu,19.0,Expedited,0
Home,99.57,100.0,4.0,Thu,13.0,Expedited,0
Home,421.02,118.0,1.0,Fri,12.0,Standard,0
Toys,333.34,103.0,4.0,Sat,0.0,Expedited,1
Electronics,79.18,33.0,8.0,Sun,3.0,SameDay,0
Toys,294.96,84.0,7.0,Mon,17.0,SameDay,0
Toys,337.83,73.0,3.0,Mon,14.0,Expedited,1
Toys,249.71,28.0,3.0,Wed,23.0,Standard,0
Clothing,325.08,38.0,2.0,Fri,19.0,Standard,0
Electronics,218.6,108.0,1.0,Sun,8.0,Standard,0
Toys,117.63,96.0,8.0,Wed,12.0,Expedited,0
Electronics,,43.0,2.0,Sun,12.0,SameDay,0
Electronics,67.0,21.0,1.0,Thu,16.0,Expedited,0
Toys,18.92,111.0,8.0,Sun,17.0,Expedited,0
Electronics,320.86,11.0,4.0,Thu,,Standard,1
Electronics,,8.0,5.0,Fri,16.0,SameDay,0
Books,144.86,,5.0,Sat,0.0,Standard,0
Books,417.99,96.0,7.0,Thu,0.0,Standard,1
Electronics,406.08,72.0,9.0,Sat,17.0,SameDay,1
Clothing,101.88,26.0,8.0,Tue,5.0,Expedited,0
Books,386.35,30.0,4.0,Fri,11.0,Standard,1
Toys,245.19,81.0,7.0,Tue,16.0,Standard,0
Toys,466.66,47.0,,Fri,13.0,SameDay,1
Books,28.36,49.0,6.0,Thu,5.0,Standard,0
Books,221.76,80.0,9.0,Fri,23.0,SameDay,0
Clothing,404.88,47.0,4.0,Sat,23.0,Expedited,1
Home,30.91,34.0,2.0,Tue,23.0,Standard,0
Clothing,280.84,21.0,7.0,Sun,13.0,Standard,0
Home,453.79,56.0,0.0,Sat,,Standard,0
Home,343.94,30.0,0.0,Thu,,SameDay,0
Electronics,244.09,4.0,8.0,Fri,1.0,Standard,1
Toys,260.69,74.0,7.0,Fri,16.0,SameDay,0
Electronics,146.36,68.0,8.0,Thu,4.0,SameDay,0
Clothing,13.66,25.0,1.0,Wed,7.0,SameDay,1
Home,8.69,50.0,3.0,Thu,23.0,Expedited,0
Home,24.83,78.0,8.0,Tue,1.0,Expedited,0
Home,341.62,119.0,9.0,Thu,8.0,SameDay,1
Home,218.02,49.0,0.0,Sun,21.0,Standard,0
Home,381.2,96.0,0.0,Tue,10.0,Expedited,0
Toys,180.65,97.0,8.0,Tue,1.0,Expedited,0
Clothing,274.69,119.0,9.0,Mon,20.0,SameDay,1
Books,179.1,59.0,4.0,Wed,13.0,SameDay,0
Clothing,43.0,102.0,9.0,Wed,7.0,Standard,0
Clothing,493.27,28.0,1.0,Sat,22.0,Expedited,0
Electronics,31.11,,8.0,Sat,,Standard,0
Clothing,142.68,44.0,3.0,Tue,1.0,Expedited,0
Electronics,47.59,109.0,2.0,Fri,9.0,Expedited,0
Toys,389.05,2.0,9.0,Wed,14.0,SameDay,1
Books,439.17,103.0,4.0,Wed,,Standard,1
Books,280.63,44.0,5.0,Wed,21.0,SameDay,0
Books,383.85,112.0,9.0,Fri,16.0,Expedited,1
Books,137.91,29.0,3.0,Sun,3.0,Expedited,0
Toys,272.45,12.0,5.0,Sun,,Standard,0
Clothing,225.02,60.0,3.0,Mon,6.0,SameDay,1
Books,467.35,78.0,4.0,Thu,21.0,Expedited,1
Clothing,332.36,53.0,1.0,Sat,7.0,SameDay,1
Toys,287.81,21.0,3.0,Fri,20.0,Standard,0
Home,,43.0,2.0,Tue,21.0,SameDay,0
Home,130.55,48.0,2.0,Wed,21.0,SameDay,0
Toys,111.21,75.0,9.0,Fri,12.0,Expedited,0
Electronics,370.58,13.0,0.0,Sun,,Expedited,0
Books,471.78,56.0,1.0,Thu,12.0,SameDay,0
Clothing,93.53,32.0,8.0,Sun,,SameDay,1
Electronics,41.41,86.0,,Sat,4.0,Expedited,0
Electronics,,109.0,8.0,Wed,19.0,SameDay,0
Electronics,9.93,58.0,0.0,Sat,10.0,SameDay,0
Clothing,,47.0,4.0,Sat,15.0,Expedited,0
Clothing,424.97,,9.0,Sat,21.0,Expedited,1
Toys,111.74,,0.0,Sun,0.0,Standard,0
Toys,14.43,75.0,3.0,Fri,12.0,Standard,0
Books,208.1,112.0,5.0,Wed,10.0,SameDay,0
Home,,44.0,8.0,Sat,18.0,SameDay,0
Books,210.88,86.0,5.0,Sat,9.0,Standard,0
Books,186.49,27.0,5.0,Mon,9.0,Standard,0
Books,146.71,98.0,1.0,Wed,6.0,SameDay,0
Home,419.01,86.0,6.0,Sun,,SameDay,1
Toys,283.13,27.0,8.0,Sat,20.0,SameDay,0
Home,497.19,86.0,3.0,Sun,1.0,Expedited,1
Books,161.47,62.0,4.0,Mon,3.0,Standard,0
Toys,198.24,46.0,9.0,Fri,7.0,SameDay,0
Home,59.09,15.0,7.0,Thu,1.0,Expedited,0
Home,154.32,,7.0,Mon,6.0,Standard,0
Electronics,276.71,118.0,8.0,Sat,11.0,SameDay,0
Home,329.63,,2.0,Sun,18.0,Expedited,0
Clothing,143.83,31.0,2.0,Sun,12.0,SameDay,1
Clothing,231.66,80.0,6.0,Tue,8.0,Expedited,0
Toys,96.96,85.0,5.0,Wed,4.0,Expedited,0
Electronics,326.65,91.0,0.0,Sat,11.0,Expedited,0
Electronics,268.31,17.0,2.0,Wed,5.0,SameDay,0
Books,152.97,108.0,7.0,Wed,14.0,Expedited,0
Clothing,260.56,42.0,5.0,Fri,13.0,SameDay,1
Toys,122.18,114.0,,Thu,15.0,Standard,0
Electronics,221.83,106.0,4.0,Sat,22.0,Expedited,0
Home,386.02,77.0,9.0,Wed,9.0,SameDay,1
Books,172.92,91.0,5.0,Tue,0.0,Standard,0
Toys,488.84,74.0,0.0,Mon,3.0,Standard,0
Home,432.07,91.0,9.0,Tue,17.0,Standard,1
Books,,18.0,6.0,Mon,2.0,Standard,1
Books,155.23,23.0,2.0,Fri,7.0,Standard,0
Home,360.04,74.0,1.0,Sat,4.0,SameDay,0
Books,319.49,48.0,9.0,Tue,6.0,SameDay,1
Electronics,,,1.0,Fri,10.0,Standard,0
Electronics,405.04,33.0,6.0,Fri,22.0,Standard,1
Clothing,382.14,47.0,7.0,Sat,0.0,Expedited,1
Toys,332.68,52.0,5.0,Sat,19.0,SameDay,1
Books,397.31,65.0,9.0,Tue,1.0,Standard,1
Electronics,57.98,39.0,2.0,Sat,22.0,SameDay,0
Electronics,314.79,48.0,1.0,Wed,13.0,SameDay,0
Books,436.28,30.0,6.0,Wed,13.0,Standard,1
Books,137.95,93.0,6.0,Mon,4.0,Standard,0
Electronics,171.47,10.0,6.0,Thu,12.0,SameDay,0
Toys,70.98,106.0,6.0,Thu,14.0,Standard,0
Toys,222.58,76.0,3.0,Sun,18.0,Standard,0
Clothing,161.04,10.0,6.0,Wed,,Standard,0
Electronics,88.17,53.0,2.0,Thu,6.0,Standard,0
Toys,295.16,58.0,0.0,Sat,9.0,Standard,0
Clothing,250.89,105.0,9.0,Sun,23.0,Standard,0
Clothing,348.29,31.0,9.0,Sat,1.0,Expedited,1
Home,220.84,6.0,0.0,Mon,0.0,SameDay,0
Toys,444.3,31.0,0.0,Mon,15.0,Expedited,0
Home,375.59,13.0,8.0,Fri,21.0,Standard,1
Home,441.04,100.0,2.0,Sun,10.0,Standard,0
Electronics,187.31,75.0,4.0,Wed,5.0,Standard,0
Clothing,309.63,105.0,9.0,Mon,6.0,Standard,1
Home,232.51,49.0,2.0,Thu,12.0,Standard,0
Clothing,277.59,116.0,4.0,Thu,11.0,SameDay,1
Home,347.72,13.0,0.0,Thu,18.0,SameDay,0
Clothing,160.12,103.0,2.0,Wed,5.0,Standard,0
Electronics,208.87,45.0,3.0,Tue,3.0,SameDay,0
Books,360.76,81.0,0.0,Thu,15.0,SameDay,0
Electronics,,113.0,4.0,Mon,6.0,SameDay,1
Clothing,,85.0,4.0,Fri,1.0,SameDay,1
Electronics,392.51,98.0,7.0,Thu,15.0,Standard,1
Toys,364.04,105.0,8.0,Sun,18.0,SameDay,1
Clothing,78.51,90.0,6.0,Tue,3.0,SameDay,1
Home,251.67,112.0,0.0,Thu,6.0,Expedited,0
Toys,31.98,22.0,1.0,Thu,5.0,SameDay,0
Books,,6.0,4.0,Thu,,SameDay,0
Clothing,406.41,77.0,4.0,Sun,4.0,Standard,1
Clothing,315.49,90.0,9.0,Sat,22.0,Expedited,1
Home,141.11,46.0,,Thu,1.0,Standard,0
Home,306.69,52.0,7.0,Mon,7.0,SameDay,1
Toys,440.56,96.0,5.0,Mon,14.0,Expedited,1
Electronics,252.48,23.0,9.0,Wed,22.0,Expedited,0
Toys,26.85,67.0,,Thu,7.0,Standard,0
Books,400.01,67.0,9.0,Mon,16.0,Standard,1
Toys,447.3,,1.0,Mon,17.0,Expedited,0
Toys,45.21,97.0,3.0,Wed,9.0,SameDay,0
Clothing,359.58,42.0,7.0,Sat,19.0,Expedited,1
Home,426.51,38.0,,Thu,21.0,SameDay,1
Toys,92.66,62.0,7.0,Sun,10.0,SameDay,0
Home,48.94,38.0,,Thu,8.0,Expedited,0
Clothing,67.92,110.0,3.0,Fri,18.0,Standard,0
Home,206.97,117.0,5.0,Thu,14.0,Expedited,0
Toys,413.98,114.0,7.0,Wed,,Standard,1
Clothing,,31.0,1.0,Wed,,Expedited,0
Books,131.09,37.0,0.0,Thu,17.0,SameDay,0
Electronics,354.77,9.0,6.0,Tue,0.0,Standard,1
Clothing,122.28,,2.0,Sat,2.0,SameDay,1
Electronics,339.72,13.0,1.0,Mon,23.0,Standard,0
Toys,84.69,111.0,2.0,Wed,15.0,SameDay,0
Toys,117.89,65.0,7.0,Sat,1.0,Expedited,0
Electronics,59.38,16.0,3.0,Thu,11.0,SameDay,0
Home,377.47,51.0,5.0,Sun,3.0,Expedited,1
Electronics,496.44,95.0,8.0,Mon,7.0,Standard,1
Home,300.25,41.0,2.0,Sat,4.0,SameDay,0
Books,102.17,101.0,2.0,Tue,11.0,Expedited,0
Books,41.67,83.0,7.0,Sun,18.0,Expedited,0
Books,9.57,54.0,5.0,Thu,15.0,Expedited,0
Home,317.61,38.0,8.0,Thu,4.0,Standard,1
Electronics,380.23,62.0,7.0,Sun,17.0,Expedited,1
Books,82.82,55.0,7.0,Sat,3.0,Standard,0
Books,385.2,88.0,2.0,Thu,1.0,Standard,0
Home,49.38,14.0,0.0,Tue,11.0,SameDay,0
Books,460.5,,7.0,Thu,8.0,Standard,1
Toys,408.24,113.0,5.0,Sat,23.0,SameDay,1
Toys,360.77,87.0,0.0,Sat,12.0,SameDay,0
Clothing,346.11,,9.0,Tue,12.0,Standard,1
Books,374.43,82.0,6.0,Mon,14.0,SameDay,1
Clothing,51.81,19.0,8.0,Sat,4.0,Expedited,0
Toys,13.89,54.0,3.0,Wed,7.0,Standard,0
Home,17.07,83.0,4.0,Sat,17.0,Expedited,0
Clothing,,91.0,9.0,Thu,9.0,Expedited,1
Home,491.88,67.0,6.0,Tue,6.0,SameDay,1
Electronics,206.13,8.0,,Sat,20.0,Expedited,0
Electronics,385.87,43.0,5.0,Wed,7.0,Expedited,1
Home,69.79,26.0,4.0,Thu,5.0,Standard,0
Electronics,255.44,68.0,8.0,Wed,20.0,Expedited,0
Toys,350.43,87.0,,Wed,19.0,SameDay,1
Toys,,43.0,4.0,Tue,10.0,Standard,0
Electronics,176.77,12.0,8.0,Sat,18.0,SameDay,0
Home,483.09,24.0,,Wed,20.0,Expedited,1
Books,151.61,116.0,1.0,Wed,8.0,Standard,0
Toys,298.0,108.0,8.0,Fri,1.0,Expedited,0
Clothing,411.63,28.0,6.0,Mon,22.0,Standard,1
Clothing,355.75,20.0,0.0,Mon,6.0,Standard,0
Books,376.95,104.0,0.0,Tue,23.0,Expedited,0
Books,358.79,23.0,9.0,Thu,1.0,Standard,1
Toys,282.99,1.0,0.0,Wed,19.0,Standard,0
Toys,409.9,57.0,5.0,Thu,4.0,Standard,1
Books,444.86,116.0,6.0,Sat,9.0,Expedited,1
Home,490.33,,9.0,Wed,16.0,Expedited,1
Electronics,174.65,47.0,0.0,Sat,6.0,SameDay,0
Books,385.37,101.0,0.0,Tue,8.0,Standard,0
Electronics,30.78,63.0,,Sat,6.0,Standard,0
Toys,178.38,107.0,6.0,Sat,14.0,SameDay,0
Toys,172.31,68.0,7.0,Sat,23.0,Standard,0
Clothing,214.36,85.0,0.0,Mon,0.0,Standard,0
Clothing,383.73,111.0,4.0,Sat,22.0,SameDay,1
Home,341.89,78.0,8.0,Sat,13.0,SameDay,1
Toys,57.3,63.0,7.0,Thu,4.0,Expedited,0
Toys,88.57,75.0,3.0,Mon,13.0,SameDay,0
Home,257.21,6.0,7.0,Sat,18.0,SameDay,0
Toys,60.69,65.0,3.0,Sat,20.0,Expedited,0
Books,9.5,26.0,1.0,Fri,10.0,Expedited,0
Books,,42.0,8.0,Wed,4.0,Standard,0
Books,121.82,82.0,0.0,Tue,11.0,Expedited,0
Home,472.06,53.0,3.0,Thu,,Expedited,1
Toys,370.58,69.0,0.0,Tue,7.0,Standard,0
Books,216.12,10.0,4.0,Thu,1.0,SameDay,0
Clothing,142.37,106.0,0.0,Fri,5.0,SameDay,1
Books,244.2,31.0,7.0,Thu,4.0,Standard,0
Electronics,450.13,39.0,4.0,Sun,12.0,Standard,1
Electronics,15.92,100.0,7.0,Mon,12.0,SameDay,0
Clothing,202.99,23.0,9.0,Fri,,Standard,0
Home,347.4,106.0,9.0,Thu,13.0,Expedited,1
Clothing,,102.0,7.0,Tue,13.0,SameDay,1
Home,340.27,38.0,5.0,Wed,1.0,Standard,1
Toys,321.49,116.0,4.0,Sat,6.0,SameDay,1
Home,486.06,83.0,5.0,Mon,,Expedited,1
Toys,56.2,29.0,9.0,Sun,17.0,Expedited,0
Electronics,185.59,62.0,7.0,Sat,2.0,Standard,0
Electronics,425.82,83.0,1.0,Fri,8.0,Expedited,0
Toys,279.32,31.0,0.0,Thu,21.0,Standard,0
Clothing,326.14,18.0,4.0,Sun,18.0,SameDay,1
Toys,408.79,87.0,5.0,Mon,22.0,Standard,1
Toys,471.32,38.0,6.0,Tue,10.0,Standard,1
Electronics,57.23,58.0,1.0,Tue,12.0,Expedited,0
Toys,193.09,96.0,6.0,Sat,6.0,Standard,0
Toys,223.57,83.0,9.0,Sun,20.0,Standard,0
Home,238.03,84.0,5.0,Sat,8.0,Standard,0
Books,450.31,47.0,3.0,Wed,17.0,Standard,1
Clothing,160.03,59.0,1.0,Tue,14.0,Expedited,0
Books,80.23,45.0,0.0,Wed,4.0,SameDay,0
Electronics,323.67,52.0,5.0,Sun,2.0,SameDay,1
Electronics,13.25,32.0,6.0,Tue,22.0,Standard,0
Electronics,266.16,63.0,5.0,Thu,3.0,Standard,0
Toys,323.76,107.0,1.0,Thu,8.0,Expedited,0
Clothing,215.82,100.0,5.0,Fri,9.0,SameDay,1
Clothing,24.21,92.0,8.0,Fri,23.0,Standard,0
Clothing,117.57,40.0,8.0,Mon,21.0,SameDay,1
Toys,466.3,57.0,7.0,Tue,20.0,Standard,1
Electronics,270.95,1.0,4.0,Tue,16.0,Standard,1
Clothing,411.52,105.0,8.0,Sat,1.0,Standard,1
Toys,73.93,60.0,2.0,Sun,9.0,Standard,0
Books,369.46,31.0,9.0,Tue,5.0,Expedited,1
Toys,473.16,90.0,8.0,Sun,21.0,Standard,1
Home,460.78,71.0,3.0,Sun,19.0,Expedited,1
Electronics,320.7,119.0,9.0,Sun,17.0,Standard,1
Clothing,268.49,92.0,3.0,Wed,15.0,Expedited,0
Clothing,323.89,19.0,8.0,Wed,3.0,Standard,1
Home,180.87,40.0,2.0,Fri,0.0,Expedited,0
Books,302.39,40.0,3.0,Fri,0.0,SameDay,1
Clothing,473.23,88.0,9.0,Mon,23.0,Standard,1
Electronics,151.82,19.0,4.0,Thu,20.0,SameDay,0
Clothing,244.03,80.0,9.0,Fri,15.0,SameDay,1
Toys,62.07,59.0,0.0,Mon,16.0,Standard,0
Home,130.33,7.0,6.0,Mon,,Expedited,0
Electronics,29.64,22.0,2.0,Tue,22.0,Standard,0
Home,212.37,119.0,9.0,Fri,10.0,Expedited,0
Toys,116.17,30.0,1.0,Sun,5.0,Expedited,0
Home,324.38,63.0,0.0,Sun,,SameDay,0
Toys,206.65,16.0,2.0,Wed,17.0,SameDay,0
Home,84.03,46.0,1.0,Fri,,Standard,0
Home,401.58,18.0,6.0,Wed,13.0,SameDay,1
Electronics,,99.0,3.0,Tue,4.0,SameDay,0
Books,254.42,116.0,6.0,Wed,3.0,SameDay,0
Clothing,413.44,117.0,4.0,Fri,11.0,SameDay,1
Electronics,358.51,9.0,7.0,Tue,19.0,SameDay,1
Electronics,224.83,77.0,3.0,Mon,14.0,Expedited,0
Electronics,,93.0,6.0,Thu,20.0,Standard,1
Books,235.53,20.0,4.0,Mon,17.0,Expedited,0
Electronics,219.69,30.0,0.0,Mon,15.0,Expedited,0
Toys,415.12,14.0,9.0,Thu,6.0,Standard,1
Books,129.34,105.0,,Fri,4.0,SameDay,0
Clothing,304.98,85.0,6.0,Sat,7.0,Standard,1
Home,156.34,24.0,4.0,Thu,22.0,Expedited,0
Clothing,314.42,,1.0,Fri,0.0,Expedited,0
Home,426.04,45.0,3.0,Mon,,Standard,1
Books,169.34,68.0,,Tue,18.0,Expedited,0
Electronics,258.73,75.0,1.0,Fri,4.0,Standard,0
Electronics,274.68,,5.0,Sat,0.0,Expedited,0
Books,103.11,111.0,2.0,Tue,17.0,Expedited,0
Clothing,,50.0,4.0,Wed,17.0,SameDay,1
Electronics,380.96,32.0,8.0,Sun,10.0,Standard,1
Clothing,63.38,16.0,2.0,Mon,22.0,SameDay,1
Clothing,406.16,64.0,6.0,Sat,8.0,SameDay,1
Books,48.29,48.0,2.0,Thu,13.0,Expedited,0
Home,119.52,32.0,8.0,Tue,7.0,Standard,0
Home,344.34,59.0,3.0,Sat,5.0,Expedited,1
Toys,397.02,112.0,9.0,Tue,15.0,Expedited,1
Clothing,66.55,19.0,6.0,Fri,23.0,Standard,0
Clothing,336.18,86.0,4.0,Sun,14.0,SameDay,1
Books,215.27,12.0,2.0,Tue,18.0,SameDay,0
Clothing,115.68,54.0,9.0,Fri,2.0,SameDay,1
Books,239.52,8.0,2.0,Sat,18.0,SameDay,0
Home,123.95,99.0,7.0,Sun,16.0,Standard,0
Clothing,284.29,19.0,1.0,Thu,21.0,Expedited,0
Toys,466.62,61.0,0.0,Tue,,Expedited,0
Books,226.2,26.0,6.0,Thu,2.0,Standard,0
Electronics,68.45,86.0,9.0,Mon,4.0,SameDay,0
Electronics,,72.0,9.0,Thu,13.0,Standard,1
Clothing,76.22,70.0,2.0,Sat,20.0,Expedited,0
Books,128.15,25.0,0.0,Sun,3.0,Expedited,0
Books,337.01,7.0,3.0,Sun,21.0,Standard,1
Toys,382.29,50.0,,Sun,10.0,Standard,1
Clothing,261.45,4.0,3.0,Sat,11.0,SameDay,1
Toys,179.97,76.0,6.0,Thu,9.0,SameDay,0
Books,357.74,,5.0,Mon,0.0,SameDay,1
Electronics,15.99,50.0,4.0,Tue,12.0,Expedited,0
Books,311.6,99.0,8.0,Sun,2.0,Expedited,1
Electronics,184.34,,9.0,Tue,11.0,Expedited,0
Electronics,251.34,15.0,4.0,Thu,9.0,Expedited,0
Toys,332.61,16.0,3.0,Wed,10.0,Standard,1
Clothing,35.9,,1.0,Sun,2.0,Expedited,0
Toys,48.76,114.0,,Sun,3.0,Standard,0
Electronics,,112.0,,Sun,,Standard,1
Electronics,159.86,54.0,4.0,Tue,3.0,Expedited,0
Electronics,350.54,,7.0,Thu,18.0,Expedited,1
Clothing,345.18,105.0,6.0,Thu,12.0,SameDay,1
Clothing,455.86,51.0,0.0,Sun,12.0,SameDay,1
Toys,280.51,108.0,0.0,Sun,12.0,SameDay,0
Home,402.59,94.0,2.0,Tue,8.0,Expedited,0
Toys,178.06,88.0,0.0,Fri,15.0,Standard,0
Books,174.8,,5.0,Mon,0.0,SameDay,0
Home,441.24,107.0,0.0,Sat,8.0,SameDay,0
Books,255.23,92.0,8.0,Sun,6.0,Expedited,0
Home,229.42,59.0,5.0,Fri,13.0,Standard,0
Toys,351.16,12.0,6.0,Thu,13.0,SameDay,1
Clothing,135.98,10.0,2.0,Tue,15.0,SameDay,1
Electronics,86.92,78.0,5.0,Tue,16.0,SameDay,0
Clothing,128.24,17.0,7.0,Mon,22.0,SameDay,1
Electronics,492.54,22.0,6.0,Thu,3.0,Standard,1
Clothing,,114.0,,Sat,15.0,Standard,0
Clothing,224.5,37.0,4.0,Thu,13.0,Standard,0
Books,161.87,,6.0,Tue,6.0,Standard,0
Clothing,342.23,9.0,5.0,Wed,6.0,Standard,1
Toys,371.04,105.0,1.0,Sat,8.0,SameDay,0
Toys,216.42,14.0,6.0,Mon,10.0,Expedited,0
Home,391.82,61.0,,Thu,10.0,Expedited,1
Clothing,398.58,27.0,6.0,Tue,15.0,Standard,1
Electronics,212.45,10.0,7.0,Mon,0.0,Expedited,0
Home,480.38,91.0,9.0,Tue,12.0,SameDay,1
Toys,245.66,81.0,9.0,Wed,14.0,SameDay,0
Toys,241.19,25.0,8.0,Fri,3.0,Standard,0
Electronics,168.8,83.0,0.0,Sun,22.0,SameDay,0
Toys,45.39,85.0,0.0,Sat,12.0,Standard,0
Books,479.18,81.0,0.0,Mon,19.0,Standard,0
Electronics,308.79,61.0,1.0,Sun,3.0,Expedited,0
Home,284.59,93.0,8.0,Mon,2.0,Expedited,0
Toys,272.85,56.0,1.0,Tue,19.0,SameDay,0
Clothing,449.81,91.0,,Fri,19.0,Expedited,0
Toys,303.49,109.0,8.0,Sat,21.0,SameDay,1
Toys,272.71,43.0,6.0,Wed,10.0,Expedited,0
Books,102.64,9.0,9.0,Sat,5.0,Standard,0
Toys,206.91,54.0,1.0,Thu,12.0,Expedited,0
Home,146.38,48.0,4.0,Fri,14.0,SameDay,0
Electronics,147.65,17.0,2.0,Mon,15.0,Standard,0
Home,412.75,98.0,8.0,Sun,10.0,Standard,1
Home,65.91,108.0,0.0,Thu,5.0,SameDay,0
Electronics,356.04,62.0,1.0,Wed,3.0,SameDay,0
Toys,134.28,89.0,,Mon,16.0,Expedited,0
Home,365.68,33.0,2.0,Fri,7.0,Standard,0
Home,410.65,75.0,2.0,Sun,10.0,Expedited,0
Books,10.2,13.0,3.0,Wed,22.0,Standard,0
Clothing,37.62,111.0,0.0,Sun,4.0,Standard,0
Electronics,136.19,91.0,2.0,Wed,5.0,Expedited,0
Electronics,124.38,106.0,2.0,Sun,6.0,Standard,0
Toys,441.81,72.0,5.0,Sun,,SameDay,1
Home,388.46,86.0,1.0,Wed,16.0,Standard,0
Home,360.71,29.0,7.0,Mon,7.0,SameDay,1
Clothing,340.05,15.0,6.0,Fri,7.0,Expedited,1
Toys,438.9,40.0,1.0,Sun,10.0,SameDay,0
Books,24.94,99.0,9.0,Thu,22.0,SameDay,0
Toys,362.73,66.0,8.0,Fri,22.0,Standard,1
Clothing,440.3,,6.0,Sat,19.0,Expedited,1
Electronics,100.93,75.0,5.0,Fri,12.0,Standard,0
Electronics,477.3,8.0,6.0,Sun,5.0,SameDay,1
Electronics,320.92,87.0,7.0,Wed,1.0,Standard,1
Electronics,84.92,50.0,6.0,Fri,14.0,SameDay,0
Home,288.3,,7.0,Tue,,SameDay,0
Toys,353.93,15.0,2.0,Wed,3.0,SameDay,0
Electronics,479.03,,7.0,Fri,15.0,SameDay,1
Electronics,47.06,58.0,7.0,Fri,5.0,Expedited,0
Clothing,93.33,57.0,7.0,Mon,2.0,Expedited,0
Home,334.87,13.0,0.0,Fri,21.0,Standard,0
Home,459.61,81.0,,Tue,7.0,SameDay,0
Electronics,235.19,111.0,9.0,Thu,13.0,Expedited,0
Clothing,484.63,60.0,0.0,Fri,22.0,Standard,0
Electronics,29.4,51.0,6.0,Wed,17.0,Expedited,0
Toys,105.75,10.0,3.0,Tue,21.0,Expedited,0
Toys,338.55,118.0,4.0,Sat,,Standard,1
Books,47.64,110.0,4.0,Sun,18.0,Expedited,0
Home,383.83,45.0,7.0,Sat,3.0,Standard,1
Home,64.48,15.0,3.0,Sat,3.0,SameDay,0
Books,469.05,50.0,8.0,Mon,15.0,SameDay,1
Home,437.07,57.0,1.0,Wed,7.0,Expedited,0
Clothing,5.64,14.0,1.0,Sun,4.0,Standard,0
Toys,462.25,16.0,8.0,Tue,1.0,Standard,1
Books,369.08,87.0,9.0,Tue,23.0,Standard,1
Toys,487.92,32.0,8.0,Sat,,SameDay,1
Books,483.0,16.0,3.0,Sun,20.0,SameDay,1
Electronics,109.66,,9.0,Sat,19.0,Standard,0
Electronics,51.74,63.0,2.0,Tue,2.0,Standard,0
Electronics,288.83,29.0,7.0,Mon,21.0,SameDay,0
Toys,134.94,97.0,7.0,Fri,4.0,SameDay,0
Toys,300.05,37.0,2.0,Sun,16.0,Standard,0
Home,377.44,69.0,,Sun,0.0,Standard,1
Home,358.41,103.0,9.0,Mon,6.0,SameDay,1
Home,441.45,21.0,1.0,Sat,0.0,Expedited,0
Toys,80.92,78.0,8.0,Fri,11.0,SameDay,0
Home,37.87,20.0,1.0,Mon,23.0,Standard,0
